$,$,$
Swagnemite,218,1
Swagnemite,453,33
Swagnemite,4360,7
Swagnemite,2724,22
Swagnemite,4751,23
Swagnemite,4887,14
Swagnemite,5739,3
Swagnemite,2379,22
Swagnemite,2002,45
Swagnemite,2841,62
Swagnemite,5850,15
Swagnemite,4904,9
Swagnemite,4186,12
Swagnemite,6207,11
Swagnemite,5297,9
Swagnemite,6230,6
Swagnemite,6148,7
Swagnemite,4945,11
Swagnemite,5848,7
Swagnemite,6424,5
Swagnemite,6486,8
Swagnemite,5919,11
Swagnemite,5001,14
Swagnemite,468,9
Swagnemite,4401,6
$,$,$
Schrute Farms,5304,1
Schrute Farms,5841,1
Schrute Farms,2869,3
Schrute Farms,4292,45
Schrute Farms,4432,1
Schrute Farms,5812,5
Schrute Farms,6046,4
Schrute Farms,6055,30
Schrute Farms,6235,3
Schrute Farms,530,29
Schrute Farms,2085,36
Schrute Farms,2818,3
Schrute Farms,5504,10
Schrute Farms,5510,4
Schrute Farms,5858,18
Schrute Farms,6402,4
Schrute Farms,531,80
Schrute Farms,4730,73
Schrute Farms,5672,26
Schrute Farms,6227,25
Schrute Farms,6519,3
Schrute Farms,785,106
Schrute Farms,2119,2
Schrute Farms,5847,6
Schrute Farms,6206,12
Schrute Farms,4658,4
Schrute Farms,4772,8
$,$,$
Swag Antonio Spurs,4312,38
Swag Antonio Spurs,41,1
Swag Antonio Spurs,4,1
Swag Antonio Spurs,2164,14
Swag Antonio Spurs,5323,10
Swag Antonio Spurs,6041,21
Swag Antonio Spurs,4976,15
Swag Antonio Spurs,5239,6
Swag Antonio Spurs,4856,36
Swag Antonio Spurs,5880,19
Swag Antonio Spurs,5423,10
Swag Antonio Spurs,152,40
Swag Antonio Spurs,5688,8
Swag Antonio Spurs,1987,21
Swag Antonio Spurs,4510,151
Swag Antonio Spurs,2038,12
Swag Antonio Spurs,6219,7
Swag Antonio Spurs,4947,6
Swag Antonio Spurs,5564,11
Swag Antonio Spurs,6409,16
Swag Antonio Spurs,6396,8
Swag Antonio Spurs,5603,6
Swag Antonio Spurs,6398,8
Swag Antonio Spurs,49,1
Swag Antonio Spurs,4385,8
Swag Antonio Spurs,5998,4
